127.0.0.1, 2023-03-11 15:55:39, POST, /runestone/admin/course_students, HTTP/1.1, 200, 0.026100
127.0.0.1, 2023-03-11 15:55:41, GET, /runestone/dashboard/index, HTTP/1.1, 200, 0.112557
127.0.0.1, 2023-03-11 15:55:41, GET, /ns/books/published/overview/_static/637.0fa6cababf056764.css, HTTP/1.1, 404, 0.000979
127.0.0.1, 2023-03-11 15:55:41, GET, /ns/books/published/overview/_static/runestone.3eb60bc006ae9a54.css, HTTP/1.1, 404, 0.001561
127.0.0.1, 2023-03-11 15:55:41, GET, /ns/books/published/overview/_static/runtime.0d64a5199ae36cbe.bundle.js, HTTP/1.1, 404, 0.000516
127.0.0.1, 2023-03-11 15:55:41, GET, /ns/books/published/overview/_static/637.d54be67956c5c660.bundle.js, HTTP/1.1, 404, 0.000186
127.0.0.1, 2023-03-11 15:55:41, GET, /ns/books/published/overview/_static/runestone.ecc6dff5cad8b815.bundle.js, HTTP/1.1, 404, 0.000192
127.0.0.1, 2023-03-11 15:55:41, GET, /runestone/static/dashboard.css, HTTP/1.1, 200, 0.001015
127.0.0.1, 2023-03-11 15:55:41, GET, /runestone/static/dashboard-charts.js, HTTP/1.1, 200, 0.000320
127.0.0.1, 2023-03-11 15:55:42, POST, /runestone/ajax/set_tz_offset, HTTP/1.1, 200, 0.040701
127.0.0.1, 2023-03-11 15:55:44, GET, /runestone/admin/doc, HTTP/1.1, 200, 0.059534
127.0.0.1, 2023-03-11 15:55:44, GET, /ns/books/published/overview/_static/637.0fa6cababf056764.css, HTTP/1.1, 404, 0.000171
127.0.0.1, 2023-03-11 15:55:44, GET, /ns/books/published/overview/_static/runestone.3eb60bc006ae9a54.css, HTTP/1.1, 404, 0.000122
127.0.0.1, 2023-03-11 15:55:44, GET, /ns/books/published/overview/_static/runtime.0d64a5199ae36cbe.bundle.js, HTTP/1.1, 404, 0.000089
127.0.0.1, 2023-03-11 15:55:44, GET, /ns/books/published/overview/_static/637.d54be67956c5c660.bundle.js, HTTP/1.1, 404, 0.000361
127.0.0.1, 2023-03-11 15:55:44, GET, /ns/books/published/overview/_static/runestone.ecc6dff5cad8b815.bundle.js, HTTP/1.1, 404, 0.000262
127.0.0.1, 2023-03-11 15:55:44, POST, /runestone/ajax/set_tz_offset, HTTP/1.1, 200, 0.030882
127.0.0.1, 2023-03-11 15:55:45, GET, /runestone/admin/practice, HTTP/1.1, 200, 0.072730
127.0.0.1, 2023-03-11 15:55:45, GET, /ns/books/published/overview/_static/637.0fa6cababf056764.css, HTTP/1.1, 404, 0.000457
127.0.0.1, 2023-03-11 15:55:45, GET, /ns/books/published/overview/_static/runestone.3eb60bc006ae9a54.css, HTTP/1.1, 404, 0.000270
127.0.0.1, 2023-03-11 15:55:45, GET, /ns/books/published/overview/_static/637.d54be67956c5c660.bundle.js, HTTP/1.1, 404, 0.000280
127.0.0.1, 2023-03-11 15:55:45, GET, /ns/books/published/overview/_static/runtime.0d64a5199ae36cbe.bundle.js, HTTP/1.1, 404, 0.000343
127.0.0.1, 2023-03-11 15:55:45, GET, /ns/books/published/overview/_static/runestone.ecc6dff5cad8b815.bundle.js, HTTP/1.1, 404, 0.000402
127.0.0.1, 2023-03-11 15:55:45, GET, /runestone/static/js/WaitingFor.js, HTTP/1.1, 200, 0.001021
127.0.0.1, 2023-03-11 15:55:46, POST, /runestone/ajax/set_tz_offset, HTTP/1.1, 200, 0.033701
127.0.0.1, 2023-03-11 15:55:47, GET, /runestone/admin/admin, HTTP/1.1, 200, 0.091503
127.0.0.1, 2023-03-11 15:55:47, GET, /ns/books/published/overview/_static/637.0fa6cababf056764.css, HTTP/1.1, 404, 0.000429
127.0.0.1, 2023-03-11 15:55:47, GET, /ns/books/published/overview/_static/runestone.3eb60bc006ae9a54.css, HTTP/1.1, 404, 0.000302
127.0.0.1, 2023-03-11 15:55:47, GET, /ns/books/published/overview/_static/runtime.0d64a5199ae36cbe.bundle.js, HTTP/1.1, 404, 0.001060
127.0.0.1, 2023-03-11 15:55:47, GET, /ns/books/published/overview/_static/runestone.ecc6dff5cad8b815.bundle.js, HTTP/1.1, 404, 0.000230
127.0.0.1, 2023-03-11 15:55:47, GET, /ns/books/published/overview/_static/637.d54be67956c5c660.bundle.js, HTTP/1.1, 404, 0.000657
127.0.0.1, 2023-03-11 15:55:47, POST, /runestone/ajax/set_tz_offset, HTTP/1.1, 200, 0.040211
